# LAMMPS data file written by OVITO
30716 atoms
2 atom types
1.2885657482 98.7114342518 xlo xhi
0.9681350035 99.0318649965 ylo yhi
1.2498286157 98.7501713843 zlo zhi
0.0 12.9312349362 0.0 xy xz yz

Atoms # molecular

1620 0 1 13.8697212803 5.2980276066 23.5080445546
30590 15 2 7.9389089843 4.5275480353 2.3219393554
4893 2 1 4.5864177333 2.2773006227 22.4410087315
25119 15 1 2.8918994087 14.3128888813 3.9601198762
1611 0 1 15.4094316804 9.4859292938 18.1599358215
24583 15 1 10.28954684 14.0895103723 19.1531816081
25662 15 1 3.5796970365 4.0702351877 2.1260156448
25151 15 1 4.9109675297 15.1469653401 5.5746566555
25150 15 1 6.6763316577 12.9806853654 6.065392219
1553 0 1 11.7941987535 19.810678582 17.0930685446
24944 15 1 5.0614351277 2.7921324396 10.3924787187
25710 15 1 8.6188672944 13.9055630558 5.012375569
30466 15 2 6.7059391761 18.8909085477 2.4672251727
25154 15 1 12.4121764737 13.2085674564 5.5015428017
25131 15 1 2.9144873221 8.3988179427 6.5328812398
25156 15 1 5.8578126835 17.5433094579 4.4775380756
25130 15 1 2.5735478535 8.6557370091 9.2291423325
24971 15 1 14.3750843195 1.4037671334 15.4549896125
25167 15 1 13.8317374178 17.1365875431 11.3369672253
25745 15 1 8.3261640231 16.5984453982 4.0603934918
1539 0 1 10.0284682252 18.0739780017 18.2640763394
25495 15 1 4.3491439356 1.3435882544 2.0528783782
25141 15 1 9.9464495359 18.0032214634 5.7815530792
1608 0 1 15.1629933067 14.2866337977 20.787062879
24980 15 1 13.5279609265 8.6803210337 13.0703387383
26412 0 2 12.2567878907 19.433836697 20.2854426441
25142 15 1 6.6872319294 13.0490050958 10.7017199612
25157 15 1 6.3073526529 19.3213627065 6.2837248281
25143 15 1 4.5814113548 14.8985868992 10.7091651141
25145 15 1 10.3237569871 14.2635036038 7.1685150963
25138 15 1 3.6553859513 15.6875768963 7.8109866443
25140 15 1 4.6292335242 18.4794837091 8.2930626528
25169 15 1 6.168531924 18.9385122574 10.795730202
25002 15 1 13.7720342346 11.0329361039 11.4884239208
24261 14 1 14.087861956 18.650875173 25.057000817
24730 15 1 11.4050845688 16.6134510807 7.7470090501
24350 14 1 11.172622664 16.9489425818 10.6230672054
24616 15 1 8.3911926259 1.0506656564 23.1411523345
2404 1 1 11.8397885454 19.308099799 4.5001174809
24595 15 1 12.5628711792 1.5087194517 24.8885468805
25139 15 1 8.5046542255 14.1197696575 12.8883549961
1625 0 1 10.7892826762 14.3699177089 11.311643806
25146 15 1 5.4388909573 16.8232550474 12.3710881862
25165 15 1 7.8930678522 16.6471128301 13.8457644374
24722 15 1 9.8661611872 18.334529484 12.8549799178
27565 4 2 12.8636066272 15.9212967265 16.4758381583
26987 2 2 10.5158357417 4.0266047368 21.0606910599
24324 14 1 11.1933744557 11.4710222647 23.6545726733
30525 15 2 8.5167277488 10.1146017159 17.8486554505
30617 15 2 3.3047415095 7.5609084996 1.4384250137
1612 0 1 8.2624802945 16.458371907 16.5570098833
27557 4 2 11.707794497 19.9001118402 8.2567348591
1536 0 1 15.7571213253 18.3425782638 19.982156971
24630 15 1 15.8839142166 7.2739196055 24.4340401039
1301 0 1 14.193744462 9.4406935578 25.3952141205
24728 15 1 8.4463443143 13.7365593798 17.0932883029
24719 15 1 9.3750416446 14.4669584357 23.6443341163
30524 15 2 13.8522376954 6.6227669615 15.6124876363
26424 0 2 7.5304588186 15.7488403592 20.2367350586
8065 4 1 5.5779428182 17.366082414 17.0208923193
7922 4 1 5.8307706868 19.1490005239 18.8717990451
25712 15 1 4.2462286713 17.2448400004 2.0799480407
26425 0 2 5.6357032121 13.9637351375 14.3552191537
24959 15 1 9.28317226 1.7534485441 11.3710784003
25162 15 1 11.689035465 16.2851219704 20.0172713061
26366 0 2 13.8107636377 8.6589454462 20.9944347665
1610 0 1 15.0693893014 12.2253896454 18.0773840503
24569 15 1 4.2342902805 1.2948050734 16.0126544541
1616 0 1 8.3172370383 19.7448877323 19.9255644789
29910 13 2 1.9781235978 18.1787734094 4.3246518902
1289 0 1 5.3664185435 6.0051155908 24.6797530747
30660 15 2 7.5112600623 19.7894677484 14.6854094731
24631 15 1 16.35813851 11.0019128027 23.6286858411
25280 15 1 3.1341978876 20.728126489 7.733874284
24952 15 1 14.0578229671 2.8650626675 6.0838602462
10122 6 1 6.126167846 3.1652684746 29.7028904641
30462 15 2 10.1689530417 9.9392522269 33.4221199407
23700 14 1 17.1676942523 15.0673930603 46.8631209828
30270 14 2 16.4623063581 14.8444124587 42.6824565934
23719 14 1 7.0451601383 16.9585395687 40.9843804644
24694 15 1 9.5824092768 2.8026417855 27.6999415291
24314 14 1 13.3118324786 4.3837733175 30.1159252753
24295 14 1 13.0115986515 19.0440196906 38.4540560834
24304 14 1 15.798507153 4.6432818185 29.1495713882
24318 14 1 13.5026729461 1.4126202219 27.4643164356
24601 15 1 9.5110567647 5.3194796903 27.6661129304
7961 4 1 7.5637093399 5.3762029155 29.8213685668
23853 14 1 13.1371211758 1.5601317632 45.5465685319
